"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Apple Card","","03/06/2024","SPROUTS FARMERS MARK 12500 LAKE UNDERHILL R ORLANDO 32828 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$15.37,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/06/2024","Nintendo","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$14.98,$0.00,"Reconciled"
"Apple Card","","03/05/2024","ACEABLE* COURSE 610 W 5TH ST603 AUSTIN 78701 TX USA","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","driving course",$45.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","03/05/2024","Amazon","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$43.80,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","03/05/2024","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$39.46,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","03/05/2024","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$35.99,$0.00,"Reconciled"
"Citi Costco Card","","03/05/2024","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Reconciled"
"Apple Card","","03/05/2024","WAWA 5219 1020 WEST MITCHELL HAMMO OVIEDO 32765 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$2.88,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/04/2024","Maitland Montessori Schoo","Fixed Monthly Expenses: School 🏫","Fixed Monthly Expenses","School 🏫","",$789.47,$0.00,"Reconciled"
"Shared Checking (1852)","","03/04/2024","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$100.00,$0.00,"Uncleared"
"Chase Sapphire (1661)","","03/04/2024","Tokyo Asian Cuisine Inc","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$93.92,$0.00,"Reconciled"
"Shared Checking (1852)","","03/04/2024","","Variable Expenses: Home Improvement 🏗️","Variable Expenses","Home Improvement 🏗️","",$91.34,$0.00,"Uncleared"
"Apple Card","","03/04/2024","PUBLIX #1793 1005 N STATE ROAD 434 SUITE 1020 ALTAMONTE SPR32714 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$74.40,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","03/04/2024","Amazon","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$32.09,$0.00,"Reconciled"
"Shared Checking (1852)","","03/04/2024","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$30.00,$0.00,"Uncleared"
"Chase Sapphire (1661)","","03/04/2024","Allegro Music Centre","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$28.36,$0.00,"Reconciled"
"Shared Checking (1852)","","03/04/2024","Lowes","Variable Expenses: Home Improvement 🏗️","Variable Expenses","Home Improvement 🏗️","",$26.22,$0.00,"Reconciled"
"Shared Checking (1852)","","03/04/2024","","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$25.00,$0.00,"Uncleared"
"Shared Checking (1852)","","03/04/2024","","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$22.00,$0.00,"Uncleared"
"Chase Prime Visa (8863)","","03/04/2024","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$16.46,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","03/04/2024","Amazon","Variable Expenses: Gifts/Presents 🎁","Variable Expenses","Gifts/Presents 🎁","",$14.79,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/04/2024","Bruster's Ice Cream","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$12.07,$0.00,"Reconciled"
"Apple Card","","03/03/2024","BROWNS GYM ORBIT - 515740 ORANGE AVE 407-8698744 32714 FL USA","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$300.20,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/03/2024","Paul's Pool Service Inc","Fixed Monthly Expenses: Pool Service 🏊","Fixed Monthly Expenses","Pool Service 🏊","",$175.00,$0.00,"Reconciled"
"Apple Card","","03/03/2024","FUN SPOT AMERICA THEME5700 FUN SPOT WAY 407-363-3867 32819 FL USA","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$123.54,$0.00,"Reconciled"
"Citi Costco Card","","03/03/2024","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$91.67,$0.00,"Uncleared"
"Chase Sapphire (1661)","","03/03/2024","BurgerFi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$76.49,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/03/2024","LastPass","Subscriptions ⏱️: LastPass","Subscriptions ⏱️","LastPass","",$48.00,$0.00,"Reconciled"
"Citi Costco Card","","03/03/2024","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$37.05,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/03/2024","Playstation Network","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$29.99,$0.00,"Reconciled"
"Apple Card","","03/03/2024","THE SEWING STUDIO FABR9605 S. HWY 17/92 MAITLAND 32751 FL USA","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$21.44,$0.00,"Reconciled"
"Citi Costco Card","","03/03/2024","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$15.00,$0.00,"Uncleared"
"Apple Card","","03/03/2024","PETSMART # 0305 380 SOUTH STATE ROAD 434 ALTAMONTE SPR32714 FL USA","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$14.95,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/03/2024","Etsy","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$14.00,$0.00,"Reconciled"
"Apple Card","","03/03/2024","EA TIBURON QPS1950 SUMMIT PARK DR ORLANDO 32810 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$7.72,$0.00,"Reconciled"
"Apple Card","","03/02/2024","WAWA STORE 5179 919 WEST SR 436 ALTAMONTE SPR32714 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$45.91,$0.00,"Reconciled"
"Apple Card","","03/02/2024","DFTBA.COM 2291 W. BROADWAY, SUITE 6 MISSOULA 59808 MT USA","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$14.72,$0.00,"Reconciled"
"Apple Card","","03/02/2024","EA TIBURON QPS1950 SUMMIT PARK DR ORLANDO 32810 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.72,$0.00,"Reconciled"
"Apple Card","","03/02/2024","BACH FESTIVAL SOCIETY 1000 HOLT AVE # 2763 WINTER PARK 32789-4499FL USA","Fun Money: Melanie's Discretionary 🌱","Fun Money","Melanie's Discretionary 🌱","",$9.88,$0.00,"Reconciled"
"Apple Card","","03/02/2024","SP LLK SEWING 4357 STILSON CIRCLE NORCROSS 30092 GA USA","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$9.50,$0.00,"Reconciled"
"Apple Card","","03/02/2024","WAWA 5219 1020 WEST MITCHELL HAMMO OVIEDO 32765 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$5.76,$0.00,"Reconciled"
"Shared Checking (1852)","","03/01/2024","Transfer to Venmo","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$165.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","03/01/2024","Mindworks Psychologic","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$165.00,$0.00,"Reconciled"
"Apple Card","","03/01/2024","PUBLIX #1070 242 N ORLANDO AVE MAITLAND 32751 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$82.78,$0.00,"Reconciled"
"Apple Card","","03/01/2024","EA TIBURON QPS1950 SUMMIT PARK DR ORLANDO 32810 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$7.72,$0.00,"Reconciled"
"Shared Checking (1852)","","02/29/2024","Pnp","Fixed Infrequent Expenses: Property Taxes 💰","Fixed Infrequent Expenses","Property Taxes 💰","Moved forward a day to make preparing for next year easier",$3419.28,$0.00,"Reconciled"
"Shared Checking (1852)","","02/29/2024","Zelle Transfer to Ad Astra Agile Learning Center, Inc. for ""calina ""erivyn"" Campbell Tuition""; Conf# Uecvnjdt9","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$300.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/29/2024","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$120.78,$0.00,"Reconciled"
"Apple Card","","02/29/2024","KURIPUTONUEBUSAITO HOTSUKAIDO SATSUPOROSHI CHUOKU KITA3JONISHI 4 SAPPORO 0600003 JPNJPN","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$117.11,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/29/2024","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$58.00,$0.00,"Reconciled"
"Apple Card","","02/29/2024","MONTHLY INSTALLMENTS (15 OF 24)","Hidden Categories: iPhone 14","Hidden Categories","iPhone 14","",$45.79,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/29/2024","Rivers","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$45.57,$0.00,"Reconciled"
"Apple Card","","02/29/2024","MONTHLY INSTALLMENTS (20 OF 24)","Hidden Categories: iPhone 14","Hidden Categories","iPhone 14","",$13.20,$0.00,"Reconciled"
"Citi Costco Card","","02/29/2024","5th Element Indian","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.62,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/29/2024","Amazon","Hidden Categories: SSC Honors Purchases (will be reimbursed)","Hidden Categories","SSC Honors Purchases (will be reimbursed)","",$11.55,$0.00,"Reconciled"
"Citi Costco Card","","02/29/2024","Mister Car Wash","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$10.00,$0.00,"Reconciled"
"Apple Card","","02/29/2024","MONTHLY INSTALLMENTS (4 OF 12)","Hidden Categories: iPhone 14","Hidden Categories","iPhone 14","",$8.66,$0.00,"Reconciled"
"Apple Card","","02/29/2024","MONTHLY INSTALLMENTS (15 OF 24)","Hidden Categories: iPhone 14","Hidden Categories","iPhone 14","",$8.29,$0.00,"Reconciled"
"Apple Card","","02/29/2024","GLOBAL VENDING SRV 100 WELDON BOULEVARD SANFORD 32773 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$2.60,$0.00,"Reconciled"
"Apple Card","","02/29/2024","MONTHLY INSTALLMENTS (4 OF 12)","Hidden Categories: iPhone 14","Hidden Categories","iPhone 14","",$2.08,$0.00,"Reconciled"
"TrustCo Checking","","02/28/2024","Transfer : Longwood Mortgage","Paying Off: Mortgage 🏘","Paying Off","Mortgage 🏘","",$1320.84,$0.00,"Reconciled"
"TrustCo Checking","","02/28/2024","Loan Payment","Paying Off: TrustCo HECL","Paying Off","TrustCo HECL","LOAN PAYMENT 000004425115",$300.03,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/28/2024","YNAB","Subscriptions ⏱️: YNAB","Subscriptions ⏱️","YNAB","",$89.09,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/28/2024","CITGO","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$43.25,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","02/28/2024","AdventHealth","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$37.69,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/28/2024","Embrace Authenticity","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$30.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/28/2024","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$6.79,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/28/2024","CVS","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$3.05,$0.00,"Reconciled"
"Citi Costco Card","","02/27/2024","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$52.26,$0.00,"Reconciled"
"Apple Card","","02/27/2024","PUBLIX #698 601 WELDON BLVD LAKE MARY 32746 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$32.29,$0.00,"Reconciled"
"Apple Card","","02/27/2024","WAWA 5117 3510 N US HWY 17-92 LAKE MARY 32746 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$9.00,$0.00,"Reconciled"
"Apple Card","","02/27/2024","MARCOS PIZZA - 8467 2300 E SEMORAN BLVD UNIT D APOPKA 32703 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$5.78,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/26/2024","Mindworks Psychologic","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$165.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/26/2024","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$100.00,$0.00,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Water Service","Fixed Monthly Expenses: Utilities 🚿","Fixed Monthly Expenses","Utilities 🚿","",$88.49,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/26/2024","Great Clips","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$74.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/26/2024","Shoe Carnival","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$71.69,$0.00,"Reconciled"
"Shared Checking (1852)","","02/26/2024","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$31.99,$0.00,"Uncleared"
"Shared Checking (1852)","","02/26/2024","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$31.00,$0.00,"Uncleared"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$115.50,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$115.50,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$115.50,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$115.50,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$115.50,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$115.50,"Reconciled"
"Shared Checking (1852)","","02/26/2024","Check","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$225.00,"Reconciled"
"Chase Prime Visa (8863)","","02/25/2024","National Risk Sol","Fixed Monthly Expenses: Home Insurance 💥","Fixed Monthly Expenses","Home Insurance 💥","",$424.83,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/25/2024","CVS","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$163.33,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/25/2024","WOW!","Fixed Monthly Expenses: Cable & Internet 🖥️","Fixed Monthly Expenses","Cable & Internet 🖥️","",$80.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/25/2024","Amazon","Variable Expenses: Gifts/Presents 🎁","Variable Expenses","Gifts/Presents 🎁","",$75.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/25/2024","Walmart","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$74.82,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/25/2024","Tires Plus","Variable Expenses: Repairs 🛠","Variable Expenses","Repairs 🛠","",$71.60,$0.00,"Reconciled"
"Apple Card","","02/25/2024","SP AWESOME-COFFEE 5845 SANDPIPER DRIVE MISSOULA 59808 MT USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$23.54,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/25/2024","Walmart","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$1.32,$0.00,"Reconciled"
"Citi Costco Card","","02/24/2024","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Reconciled"
"Apple Card","","02/24/2024","EA TIBURON QPS1950 SUMMIT PARK DR ORLANDO 32810 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$0.53,$0.00,"Reconciled"
"Shared Checking (1852)","","02/24/2024","Transfer : Vanguard Brokerage","Fixed Monthly Expenses: Mel Education","Fixed Monthly Expenses","Mel Education","",$0.00,$7000.00,"Reconciled"
"Citi Costco Card","","02/23/2024","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$370.63,$0.00,"Uncleared"
"Citi Costco Card","","02/23/2024","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$190.00,$0.00,"Uncleared"
"Apple Card","","02/23/2024","MARCOS PIZZA - 8467 2300 E SEMORAN BLVD UNIT D APOPKA 32703 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$48.48,$0.00,"Reconciled"
"Apple Card","","02/23/2024","STARBUCKS 800-782-72822401 UTAH AVE S 800-782-7282 98134 WA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$20.00,$0.00,"Reconciled"
"Citi Costco Card","","02/23/2024","Starbucks","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$16.23,$0.00,"Reconciled"
"Apple Card","","02/23/2024","GLOBAL VENDING SRV 2505 LOCKWOOD BLVD, OVIEDO 32765 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$2.60,$0.00,"Reconciled"
"Apple Card","","02/22/2024","THE EAR NOSE AND THROA133 BENMORE DR STE 100 WINTER PARK 32792 FL USA","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$111.82,$0.00,"Reconciled"
"Apple Card","","02/22/2024","INTUIT *TURBOTAX 7535 TORREY SANTA FE RD CL.INTUIT.COM92129 CA USA","Subscriptions ⏱️: TurboTax","Subscriptions ⏱️","TurboTax","",$89.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/22/2024","Sanlando Springs Ani","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$47.93,$0.00,"Reconciled"
"Apple Card","","02/22/2024","TST* SLIDDERS PIZZA 3 400 NORTH ORLANDO AVE. MAITLAND 32751 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$40.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/22/2024","DoorDash","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$29.47,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/22/2024","Netflix","Hidden Categories: Netflix","Hidden Categories","Netflix","",$17.53,$0.00,"Reconciled"
"Shared Checking (1852)","","02/21/2024","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$28.44,$0.00,"Uncleared"
"Apple Card","","02/21/2024","DELAWARE NORTH LOGAN F175 MCCLELLAN STE A EAST BOSTON 02138 MA USA","Hidden Categories: Colin RI Trip","Hidden Categories","Colin RI Trip","",$11.34,$0.00,"Reconciled"
"Shared Checking (1852)","","02/21/2024","","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$8.00,$0.00,"Uncleared"
"Apple Card","","02/21/2024","DUNKIN #353462 Q35 381 METACOM AVE BRISTOL 02809 RI USA","Hidden Categories: Colin RI Trip","Hidden Categories","Colin RI Trip","",$1.60,$0.00,"Reconciled"
"Shared Checking (1852)","","02/21/2024","Check","Hidden Categories: SSC Honors Purchases (will be reimbursed)","Hidden Categories","SSC Honors Purchases (will be reimbursed)","",$0.00,$15.26,"Reconciled"
"Shared Checking (1852)","","02/21/2024","Step Up for Stud","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$0.00,$471.40,"Reconciled"
"Chase Sapphire (1661)","","02/20/2024","Browns Gym Orbit","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$100.00,$0.00,"Reconciled"
"Shared Checking (1852)","","02/20/2024","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$60.00,$0.00,"Reconciled"
"Apple Card","","02/20/2024","WAWA 5117 3510 N US HWY 17-92 LAKE MARY 32746 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$57.82,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/20/2024","Embrace Authenticity","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$30.00,$0.00,"Reconciled"
"Apple Card","","02/20/2024","WAWA 5117 3510 N US HWY 17-92 LAKE MARY 32746 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$18.86,$0.00,"Reconciled"
"Apple Card","","02/20/2024","DUNKIN' MOBILE AP 130 ROYALL STREET. CANTON 02021 MA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$15.00,$0.00,"Reconciled"
"Apple Card","","02/20/2024","GLOBAL VENDING SRV 850 SOUTH SR 434, ALTAMONTE SPR32714 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$2.35,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/19/2024","Mindworks Psychologic","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$165.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/19/2024","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$162.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/19/2024","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$150.00,$0.00,"Reconciled"
"Apple Card","","02/19/2024","OTT* DROPOUT 2012 HYPERION AVENUE LOS ANGELES 90027 CA USA","Subscriptions ⏱️: Dropout","Subscriptions ⏱️","Dropout","",$54.50,$0.00,"Reconciled"
"Apple Card","","02/19/2024","TIJUANA FLATS ONLINE #444 S HUNT CLUB BLVD APOPKA 32703 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$51.17,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/18/2024","Walmart","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$162.57,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/18/2024","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$75.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/18/2024","Wiewiora and Dunn Orth","Fixed Monthly Expenses: Orthodontist 😬","Fixed Monthly Expenses","Orthodontist 😬","",$73.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/18/2024","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$55.00,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/18/2024","Ritual Basil & Bunny","Hidden Categories: Colin RI Trip","Hidden Categories","Colin RI Trip","",$16.47,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/16/2024","Mindworks Psychologic","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$165.00,$0.00,"Reconciled"
"Shared Checking (1852)","","02/16/2024","T-Mobile","Fixed Monthly Expenses: Phone 📱","Fixed Monthly Expenses","Phone 📱","",$132.96,$0.00,"Reconciled"
"Citi Costco Card","","02/16/2024","Tokyo Asian Cuisine Inc","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$95.29,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/16/2024","Whole Foods","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$61.90,$0.00,"Reconciled"
"Apple Card","","02/16/2024","MARCOS PIZZA - 8467 2300 E SEMORAN BLVD UNIT D APOPKA 32703 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$52.17,$0.00,"Reconciled"
"Apple Card","","02/16/2024","WAWA STORE 5179 919 WEST SR 436 ALTAMONTE SPR32714 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$45.01,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/16/2024","Steam","Variable Expenses: Gifts/Presents 🎁","Variable Expenses","Gifts/Presents 🎁","RPG Maker for 🌸 ",$39.99,$0.00,"Reconciled"
"Chase Sapphire (1661)","","02/16/2024","Atlantaharp","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$31.30,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","02/16/2024","Amazon","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$14.97,$0.00,"Reconciled"
"Shared Checking (1852)","","02/15/2024","Transfer to Venmo","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$165.00,$0.00,"Reconciled"
"Apple Card","","02/15/2024","APPLE.COM/BILL ONE APPLE PARK CUPERTINO 95014 CA USA","Subscriptions ⏱️: Apple One","Subscriptions ⏱️","Apple One","",$40.88,$0.00,"Reconciled"
"Shared Checking (1852)","","02/15/2024","","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$25.94,$0.00,"Uncleared"
"Citi Costco Card","","02/15/2024","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Reconciled"
"Apple Card","","02/15/2024","PUBLIX #1070 242 N ORLANDO AVE MAITLAND 32751 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$19.79,$0.00,"Reconciled"
