"Category","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Average","Total"
"Paying Off",-1923.27,-2464.59,-2464.59,-2477.84,-2491.04,-2491.04,-2491.04,-2269.54,-2269.54,-2323.57,-1496.40,-2094.68,-627.78,20307.27,8346.72,-7191.43,-2165.19,-1552.71,-1575.42,2691.61,-1574.29,-1583.07,-1649.33,-1698.89,-11370.76,-1783.66,-1688.26,-31448.13,-1564.93,-1556.91,-1672.46,-16685.85,-1684.75,-12548.80,-1513.08,-1537.47,-1550.45,-1653.62,-11692.10,-1661.90,-1604.84,-1646.79,-1657.64,-3049.95,0.00,-2780.04,-125102.00
"Apple Pencil ✏️",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.74,-10.74,-10.74,-10.86,-54.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.16,-97.24
"iPhone SE",0.00,0.00,0.00,0.00,-13.20,-13.20,-13.20,-13.20,-13.20,-13.20,-13.20,-13.20,-8.29,-13.20,-13.20,-13.20,-13.20,-13.20,-13.20,-21.49,-13.20,-8.29,0.00,0.00,-8.66,-67.28,-10.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.17,-322.75
"iPhone 14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-54.08,-54.08,-54.08,-58.99,-54.08,-54.08,-54.08,-54.08,-54.08,-54.08,-45.79,-54.08,-69.73,0.00,-78.02,-69.36,-113.89,-63.11,-64.82,-54.08,-54.08,-54.08,-54.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.35,-1320.83
"iPhone 15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-49.07,-53.24,-62.47,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,-49.07,0.00,-21.11,-949.90
"Macbook Airs 💻",0.00,-208.25,-208.25,-221.50,-221.50,-221.50,-221.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-28.94,-1302.50
"Mortgage 🏘",-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,-1320.84,0.00,-1291.49,-58116.96
"Car 🚗",-494.15,-494.15,-494.15,-494.15,-494.15,-494.15,-494.15,-494.15,-494.15,-494.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-109.81,-4941.50
"Couch 🛋️",0.00,-333.07,-333.07,-333.07,-333.07,-333.07,-333.07,-333.07,-333.07,-333.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-66.61,-2997.58
"Trampoline 🦘",-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.28,-108.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.09,-1624.16
"TrustCo HECL",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-598.28,868.62,21803.67,9843.08,-5803.31,-777.07,-164.59,-187.30,4079.73,-186.17,-184.21,-328.49,-300.03,-9971.90,-232.58,-240.33,-30000.00,-130.20,-122.18,-237.73,-15251.00,-260.68,-11178.89,-143.17,-167.56,-180.54,-283.71,-10322.19,-291.99,-234.93,-276.88,-287.73,-1680.04,0.00,-1187.30,-53428.58
"Saving Goals",-5500.00,-104.34,-361.20,0.00,-4386.72,-1840.89,0.00,-2117.65,-191.25,-4039.20,-8587.08,-310.52,-982.95,-22943.99,-5475.23,-1548.49,-6096.57,-428.98,0.00,-154.22,-1146.86,-4045.96,-3890.08,-47.92,-1589.76,-1233.59,0.00,411.75,-21329.00,23519.06,-8500.00,-233.13,-3535.55,-3601.56,-11522.90,-450.50,21390.09,-20540.92,-20721.99,-11527.23,-4293.16,-22683.77,-424.67,0.00,-13.90,-3579.57,-161080.83
"Board Game Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.11,-500.00
"New York Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.42,-1189.00
"Seattle Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1819.74,-33.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-41.19,-1853.44
"Eli Birthday",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-408.63,0.00,0.00,-9.08,-408.63
"Taxes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.44,-1730.00
"Japan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1181.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.25,-1181.36
"Garage Remodel",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8500.00,0.00,-2759.99,-48.99,-4636.00,0.00,23854.15,-16998.22,-19737.49,-9982.80,-3390.95,-20986.32,0.00,0.00,0.00,-1404.15,-63186.61
"Erivyn's Birthday Miami",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-469.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.43,-469.47
"NC Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-652.32,-265.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.40,-917.87
"Eclipse Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-373.25,-374.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.61,-747.29
"School Registration",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3930.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-242.33,-10905.00
"Christmas 🎄",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-191.25,-1922.70,-101.68,0.00,-13.90,0.00,0.00,0.00,0.00,0.00,0.00,-154.22,-280.09,-2079.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-233.13,-775.56,-2501.35,0.00,0.00,-64.21,0.00,0.00,0.00,0.00,0.00,-16.04,0.00,-13.90,-185.51,-8347.81
"Emergency Fund $30k goal 🦺",0.00,-104.34,0.00,0.00,0.00,-1595.00,0.00,-1787.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-77.49,-3486.99
"Travel ✈️ Next trip: Disney Camping Dec 2025",0.00,0.00,-361.20,0.00,-4386.72,-245.89,0.00,-330.00,0.00,-2116.50,-5275.40,-297.66,-519.05,8.72,-1344.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.25,0.00,0.00,0.00,0.00,0.00,-1051.22,-1775.54,0.00,-14.57,0.00,0.00,0.00,0.00,-210.38,0.00,0.00,0.00,-398.34,-17925.23
"Air Conditioning ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21329.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.58,3671.00
"Summer Stuff 🌞",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1159.00,-1407.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-594.00,0.00,417.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-450.50,-9.58,-90.00,-984.50,-1544.43,-869.66,-660.64,0.00,0.00,0.00,-163.40,-7352.81
"Colin WBC Trip 🎲",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-555.96,0.00,0.00,0.00,-32.55,-826.43,0.00,0.00,0.00,-31.44,-1414.94
"Japan Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-450.00,-5037.26,-2971.66,-140.99,-6496.57,371.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-327.23,-14725.46
"🌸 Roth IRA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.22,-1000.00
"Roth IRAs 💵",-5500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-122.22,-5500.00
"Kevin's Wedding",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-314.81,-1743.38,-122.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.46,-2180.82
"Colin RI Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-222.80,-2.45,-47.92,-94.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.18,-367.89
"Camping at the Beach",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-551.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.27,-551.96
"Jackie Colorado Move",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,-800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.89,-400.00
"Another Car 🏎️ ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.86,0.00,-16915.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-376.18,-16928.31
"Canada Trip",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1480.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.91,-1480.94
"Total Expenses",-11428.67,-15839.15,-12813.08,-16535.79,-19327.59,-17343.58,-14253.50,-16047.75,-13904.25,-13808.59,-21550.18,-13351.22,-20528.73,-16858.65,-10020.46,-22288.64,-16159.82,-18813.57,-18175.20,-10268.58,-16413.21,-17804.52,-15036.21,-6849.92,-26398.28,-14827.77,-14077.86,-48811.89,-36478.32,3282.15,-25290.39,-33584.38,-19962.85,-34253.17,-33646.24,-14897.18,4636.66,-39067.70,-54466.15,-31628.72,-24865.43,-43886.39,-12745.87,-14498.51,-5044.74,-19909.64,-895933.89
"Net Income",-6388.90,-9342.50,26408.07,-9138.77,3532.25,-9125.21,6722.38,-3444.60,2976.73,-340.45,-14296.92,3416.77,-5370.75,-9106.36,17401.98,10132.75,-9157.54,1862.69,-9786.79,-235.28,6928.17,-1667.99,-5798.61,21241.82,-16800.04,-4632.53,26671.08,-19419.86,-25523.00,28259.03,10175.05,2972.13,11940.11,-25435.88,-19030.12,2405.34,46816.48,-31818.49,-10393.40,13900.45,-19015.48,1941.37,-1751.68,24.97,-175.52,-477.05,-21467.05
